Pemerintah Daerah Provinsi Banten;admin@bantenprov.go.id;
Pemerintah Daerah Kota Tanjung Pinang;kominfo@tanjungpinangkota.go.id;
Pemerintah Daerah Kabupaten Bekasi;diskominfo.pntik@bekasikab.go.id;
Pemerintah Daerah Kabupaten Pati;info@diskominfo.patikab.go.id;
Pemerintah Daerah Provinsi Jawa Barat;info@jabarprov.go.id;
Pemerintah Daerah Kota Sukabumi;info@sukabumikota.go.id;
Pemerintah Daerah Kota Balikpapan;adminkota@balikpapan.go.id;
Pemerintah Kota Tangerang;diskominfo@tangerangkota.go.id;
Kementerian Pendidikan dan Kebudayaan;pengaduan@kemdikbud.go.id;
Pemerintah Daerah Provinsi DKI Jakarta;dki@jakarta.go.id;
Pemerintah Daerah Kota Bekasi; info@bekasikota.go.id;
Pemerintah Daerah Kabupaten Kulon Progo;pemkab@kulonprogokab.go.id ;
Pemerintah Daerah Kabupaten Sleman;setda.slemankab.go.id;
Pemerintah Daerah Kabupaten Tuban;info@tubankab.go.id;
Pemerintah Daerah Kabupaten Pasuruan;diskominfo@pasuruankab.go.id;
Pemerintah Daerah Kabupaten Malang;kominfo@malangkab.go.id;
Pemerintah Daerah Kabupaten Pamekasan ;kominfo@pamekasankab.go.id;
Pemerintah Daerah Kota Cilegon;"support@mail.cilegon.go.id
";
Pemerintah Daerah Kabupaten Majalengka ;diskominfo@majalengkakab.go.id;
